"""An extract of data after labeling that shows the beginning of new activities
 following sudden changes in sensor readings."""

"Sleeping,end",2010-11-04,08:01:12.28297,M003,OFF
"Sleeping,begin,modified",2010-11-04,08:01:16.512483,M007,OFF
,2010-11-04,08:01:27.355469,M007,ON
,2010-11-04,08:01:38.179733,M007,OFF
,2010-11-04,08:01:50.695629,M007,ON
,2010-11-04,08:01:52.180206,M007,OFF
,2010-11-04,08:01:52.613133,M005,ON
,2010-11-04,08:01:53.108864,M007,ON
,2010-11-04,08:01:55.933454,M005,OFF
,2010-11-04,08:01:56.850326,M005,ON
"Sleeping,end,modified",2010-11-04,08:01:58.687847,M005,OFF
"Housekeeping,begin,modified",2010-11-04,08:01:59.572213,M004,ON
"Housekeeping,end,modified",2010-11-04,08:02:03.153913,M004,OFF
"Sleeping,begin,modified",2010-11-04,08:02:04.858778,M007,OFF
"Sleeping,end,modified",2010-11-04,08:06:21.941482,M007,ON
"Housekeeping,begin,modified",2010-11-04,08:06:22.949387,M004,ON
"Housekeeping,end,modified",2010-11-04,08:06:26.461381,M004,OFF
"Sleeping,begin,modified",2010-11-04,08:06:26.53321,M005,ON
,2010-11-04,08:06:28.002938,M005,OFF
,2010-11-04,08:06:29.184532,M006,ON
,2010-11-04,08:06:29.674555,M008,ON
"Sleeping,end,modified",2010-11-04,08:06:29.756622,M007,OFF
"Relax,end,modified",2010-11-04,08:06:30.723013,M020,ON
"Meal_Preparation,begin,modified",2010-11-04,08:06:31.297516,M006,OFF
"Meal_Preparation,end,modified",2010-11-04,08:06:31.851287,M008,OFF
"Relax,begin,modified",2010-11-04,08:06:33.875104,M020,OFF
,2010-11-04,08:06:41.09021,M020,ON
,2010-11-04,08:06:42.348572,M020,OFF
,2010-11-04,08:06:44.870515,M020,ON
,2010-11-04,08:06:48.041198,M020,OFF
,2010-11-04,08:06:53.35914,M020,ON
,2010-11-04,08:06:57.701932,M020,OFF
,2010-11-04,08:07:07.895534,M020,ON
,2010-11-04,08:07:09.785255,M020,OFF
,2010-11-04,08:07:11.895554,M020,ON
,2010-11-04,08:07:12.664738,M010,ON
,2010-11-04,08:07:14.301134,M010,OFF
,2010-11-04,08:07:16.190932,M020,OFF
,2010-11-04,08:07:21.271123,M020,ON
,2010-11-04,08:07:23.586636,M011,ON
,2010-11-04,08:07:31.634816,M011,OFF
,2010-11-04,08:07:32.654851,M020,OFF
,2010-11-04,08:07:54.091279,M020,ON
,2010-11-04,08:07:57.023364,M020,OFF
,2010-11-04,08:07:57.425731,M020,ON
,2010-11-04,08:07:59.674038,M020,OFF
,2010-11-04,08:08:00.063711,M020,ON
,2010-11-04,08:08:04.824625,M012,ON
,2010-11-04,08:08:06.516914,M013,ON
,2010-11-04,08:08:07.090487,M012,OFF
,2010-11-04,08:08:08.068587,M020,OFF
,2010-11-04,08:08:09.067211,M013,OFF
,2010-11-04,08:08:09.136169,M020,ON
"Relax,end,modified",2010-11-04,08:08:10.495959,M020,OFF
"Meal_Preparation,begin,modified",2010-11-04,08:08:10.882844,M014,ON
"Meal_Preparation,end,modified",2010-11-04,08:08:13.236142,M014,OFF
"Relax,begin,modified",2010-11-04,08:08:30.739826,M013,ON
,2010-11-04,08:08:30.810019,M020,ON
,2010-11-04,08:08:34.415106,M013,OFF
,2010-11-04,08:08:34.780496,M020,OFF
,2010-11-04,08:08:36.100108,M009,ON
,2010-11-04,08:08:36.500668,M020,ON
,2010-11-04,08:08:37.219843,M009,OFF
,2010-11-04,08:08:38.23252,M009,ON
,2010-11-04,08:08:41.620048,M020,OFF
,2010-11-04,08:08:42.872835,M009,OFF
,2010-11-04,08:08:46.053107,M009,ON
,2010-11-04,08:08:52.210853,M009,OFF
,2010-11-04,08:09:11.149768,M009,ON
,2010-11-04,08:09:12.264937,M009,OFF
,2010-11-04,08:09:16.728236,M009,ON
,2010-11-04,08:09:28.409223,M009,OFF
,2010-11-04,08:09:28.961301,M009,ON
,2010-11-04,08:09:30.183203,M009,OFF
,2010-11-04,08:09:47.028123,M009,ON
,2010-11-04,08:09:49.383401,M009,OFF
,2010-11-04,08:09:53.998147,M009,ON
,2010-11-04,08:09:59.074177,M009,OFF
,2010-11-04,08:10:40.283674,M009,ON
,2010-11-04,08:10:41.109839,M020,ON
,2010-11-04,08:10:41.935367,M010,ON
,2010-11-04,08:10:42.297335,M013,ON
,2010-11-04,08:10:43.92616,M010,OFF
,2010-11-04,08:10:44.483412,M009,OFF
,2010-11-04,08:10:45.03591,M020,OFF
,2010-11-04,08:10:46.67427,M013,OFF
"Relax,end,modified",2010-11-04,08:10:48.354757,M020,ON
"Meal_Preparation,end,modified",2010-11-04,08:10:49.122841,M014,ON
"Relax,end,modified",2010-11-04,08:10:50.118385,M020,OFF
"Meal_Preparation,end,modified",2010-11-04,08:10:51.021466,M014,OFF
"Meal_Preparation,begin",2010-11-04,08:11:09.966157,M018,ON
